"code","name","description"
"ML103","Woda perfumowana Victory",
"500064","Perfumetka Spartan 10 ml","<h4><big>Informacje</big></h4><p>Zapach dla współczesnego wojownika, który stawia czoła różnym wyzwaniom.<br />Męski i zdecydowany, intryguje oryginalnymi nutami.<br />Rozgrzewający imbir i tajemnicze kadzidło nadają mu moc, a grejpfrut i cytryna orzeźwiają cytrusowym aromatem.<br />Jaśmin i różowy pieprz rozpalają zmysły.</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>"
"500060","Perfumetka Victory 10 ml","<h4><big>Informacje</big></h4><p>Szklana butelka z atomizerem.<strong><br /></strong></p><p>Zapach przeznaczony dla aktywnych, dynamicznych mężczyzn, którzy w tętniących życiem miastach czują się wspaniale.<br />Mieszanka nut zapachowych tworzy zapach sportowy a jednocześnie elegancki.</p><p><strong>Nuta głowy</strong></p><p>grejpfrut, mandarynka, nuty morskie</p><p><strong>Nuta serca</strong></p><p>jaśmin, liść laurowy</p><p><strong>Nuta podstawy</strong></p><p>drzewo gwajakowe, ambra, paczuli, mech dębowy</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>"
"500058","Perfumetka Lato w Toskanii 10 ml","<h4><big>Informacje</big></h4><p><strong>Dla Kobiet podążających swoją własną drogą.</strong></p><p>Ten piękny kwiatowy zapach przeznaczony jest dla pewnej siebie kobiety, podążającej swoją własną drogą. Kusi swoją lekkością, świeżością oraz elegancją.</p><p><strong>Nuta głowy</strong></p><p>kaktus</p><p><strong>Nuta serca</strong></p><p>jaśmin, róża, frezja</p><p><strong>Nuta podstawy</strong></p><p>nuty drzew, cedr</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>"
"5032","Perfumetka La Rosita 10 ml","<h4><big>Informacje</big></h4><p>Upajająca woń kwiatów, wśród których króluje namiętna róża. Idealna kompozycja dla kobiet, które kochają uwodzicielskie zapachy na szlachetnym, wytwornym tle.</p><p></p><p style=""margin-bottom:0cm;line-height:100%;""><strong>Kategoria zapachu</strong></p><p></p><p style=""margin-bottom:0cm;line-height:100%;"">kwiatowa</p><p></p><p><strong>Nuta głowy</strong></p><p>piwonia, frezja, liczi</p><p><strong>Nuta serca</strong></p><p>magnolia, róża, konwalia</p><p><strong>Nuta bazy</strong></p><p>ambra, drewno cedrowe</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>"
"5031","Perfumetka Caramella 10 ml","<h4><big>Informacje</big></h4><p>Grzeszna przyjemność, na którą możesz pozwolić sobie bez poczucia winy. Rozpieszcza zmysły jak pyszny deser z migdałami i kakao, uzależnia jak aromatyczna kawa, dodaje słodyczy jak wanilia.</p><p><strong>Nuta głowy</strong></p><p>migdał, kawa</p><p><strong>Nuta serca</strong></p><p>tuberoza, jaśmin</p><p><strong>Nuta podstawy</strong></p><p>fasolka tonka, kakao, drzewo sandałowe i wanilia</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>"
"5012","Perfumetka Lato w Andaluzji 10 ml","<h4><big>Informacje</big></h4><p><strong><span style=""color:#2445a2;"">Dla Kobiety tajemniczej i intrygującej.</span><br /><br /></strong>Soczyste pomarańcze, jaśmin i ognisty imbir tworzą uwodzicielską kompozycję, rozgrzewającą zmysły jak lato na południu Hiszpanii. Intrygujące połączenie wanilii z solą nadaje całości tajemniczy, kuszący charakter.<strong><br /><br />Nuta głowy<br /></strong>jaśmin, pomarańcza, imbir<strong><br /><br />Nuta serca<br /></strong>wanilia, sól<strong><br /><br />Nuta podstawy<br /></strong>kaszmir, drzewo sandałowe, ambra<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność: 10 ml</p><div class=""page-break""><!-- pagebreak --></div>"
"0404","Łatwy start krok 3",
"500059","Perfumetka Lato w Prowansji 10 ml","<h4><big>Informacje</big></h4><p>Dla Kobiet tryskających energią.</p><p>Zapach, który sprawi, że każdego dnia na twarzy kobiety pojawi się uśmiech. Przeznaczona dla pań pozytywnie nastawionych do życia i tryskających energią. Jest symbolem wolności i wiary.</p><p><strong>Nuta głowy</strong></p><p>czarna porzeczka, gruszka</p><p><strong>Nuta serca</strong></p><p>irys, kwiat pomarańczy, jaśmin</p><p><strong>Nuta podstawy</strong></p><p>paczula, wanilia, fasola Tonka</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>"
"ML003","Torebka prezentowa Blue Nature (1 szt.)","<p>Ekskluzywna, biała torebka papierowa, będąca połaczeniem elegancji i luksusu. Doskonała do pakowania kosmetyków i innych drobnych upominków od Blue Nature.</p>
<ul><li>Materiał: papier laminowany</li>
<li>Wymiary: 24 x 24 cm</li>
<li>Uchwyt: sznurkowy</li>
</ul>"
"4558","Puszka na kawę  - czarna",
"ML020","Torebka papierowa ECO Blue Nature","<ul><li>Ekologiczna</li><li>Prosta</li><li>Elegancka</li><li>Idealna na produkty Blue Nature i nie tylko</li><li>Wymiary: 230 x 83 x 180 mm</li></ul>"
"ML022","Miniaturka perfum Lato w Wenecji 1 ml","<h4><big>Informacje</big></h4><p><span style=""color:#2445a2;""><strong>Dla Kobiety romantycznej i zmysłowej.</strong></span><br /><br />Orzeźwiająca i zarazem pełna słodyczy. Romantyczna jak lato w Wenecji, zmysłowa jak jaśmin królujący w nucie serca.<br /><br /><strong>Nuta głowy</strong><br />cytryna, liście mięty, różowy pieprz<br /><br /><strong>Nuta serca</strong><br />jaśmin<br /><br /><strong>Nuta podstawy</strong><br />cedr, brązowy cukier, drzewo kaszmirowe</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność: 1 ml</p><div class=""page-break""><!-- pagebreak --></div>"
"ML025","Reklamówki dla klientów (10 szt.)","<p>W sam raz do pakowania, transportu i przechowywania dowolnych produktów Blue Nature, BetterStyle. Uniwersalne, niebieskie reklamówki wielokrotnego użytku z uchwytem. Trwałe, wytrzymałe, wodoodporne, wykonane z folii.</p><ul><li>Wymiary: 32 x 9 x 55 cm</li></ul>"
"ML026","Reklamówki do startera (1 szt.)","<p>W sam raz do pakowania, transportu i przechowywania dowolnych  produktów  Blue Nature, BetterStyle. Uniwersalne, niebieskie reklamówki wielokrotnego użytku. Super mocne, trwałe, wytrzymałe, wodoodporne, wykonane z grubej folii o wysokiej gęstości.</p><ul><li>Wymiary: 36,3 x 8 x 34,4 cm</li></ul>"
"ML027","Próbka kremu do twarzy na dzień i na noc Hydroclinic, 2 ml – 1 szt.",
"ML028","Próbka kremu do twarzy na dzień i na noc HYDROCLINIC, 2 ml – pakiet 5 szt","<p>Klientki uwielbiają próbować! <br />Od teraz możesz rozdawać swoim Klientkom próbki kremu Hydroclinic do twarzy (2 ml) – świetne narzędzie sprzyjające wzrostowi sprzedaży.<br /><br />Dostępne w pakietach po 5 sztuk.</p>"
